url,date,selector,notes ,tonalité
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,C/B,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,G/D,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,G7,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,E,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,#diagAccords div.dNomAcc,B♭,
https://www.boiteachansons.net/partitions/francis-cabrel/je-l-aime-a-mourir,2023-01-07T13:53:04.995Z,li.liTonalElmtSlct,,C
https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,2023-01-07T13:53:07.106Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,2023-01-07T13:53:07.106Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,2023-01-07T13:53:07.106Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,2023-01-07T13:53:07.106Z,#diagAccords div.dNomAcc,D,
https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,2023-01-07T13:53:07.106Z,#diagAccords div.dNomAcc,B7,
https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,2023-01-07T13:53:07.106Z,li.liTonalElmtSlct,,G
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,D,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,D7,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,Bm,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,#diagAccords div.dNomAcc,G7,
https://www.boiteachansons.net/partitions/jean-ferrat/la-montagne,2023-01-07T13:53:08.372Z,li.liTonalElmtSlct,,G
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,#diagAccords div.dNomAcc,Dm7,
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/vianney/beau-papa,2023-01-07T13:53:09.534Z,li.liTonalElmtSlct,,A
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Em/B,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,C/G,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,D7/F♯,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Fm,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,C7,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Am7/G,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,D/F♯,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,D4/G,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,D/A,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,D/B,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Dm7/C,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Dm7,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,#diagAccords div.dNomAcc,Dm7/G,
https://www.boiteachansons.net/partitions/nino-ferrer/le-sud,2023-01-07T13:53:10.319Z,li.liTonalElmtSlct,,C
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,B♭2,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,C2,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,D4,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,A,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,#diagAccords div.dNomAcc,A4,
https://www.boiteachansons.net/partitions/francis-cabrel/la-corrida,2023-01-07T13:53:11.441Z,li.liTonalElmtSlct,,B
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Bm7(♭5),
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Dm7,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,E9,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Am7,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,E7,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,A7,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Dm7/4,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,#diagAccords div.dNomAcc,Dm9,
https://www.boiteachansons.net/partitions/charles-aznavour/la-boheme,2023-01-07T13:53:12.189Z,li.liTonalElmtSlct,,A
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,B4,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,B,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,E,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,A,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,C♯m,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,F♯m,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,Amaj7,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,F♯m9,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,B6,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,G♯4,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,#diagAccords div.dNomAcc,G♯,
https://www.boiteachansons.net/partitions/patrick-bruel/encore-une-fois,2023-01-07T13:53:13.088Z,li.liTonalElmtSlct,,E
https://www.boiteachansons.net/partitions/patrick-bruel/casser-la-voix,2023-01-07T13:53:13.810Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/patrick-bruel/casser-la-voix,2023-01-07T13:53:13.810Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/patrick-bruel/casser-la-voix,2023-01-07T13:53:13.810Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/patrick-bruel/casser-la-voix,2023-01-07T13:53:13.810Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/patrick-bruel/casser-la-voix,2023-01-07T13:53:13.810Z,li.liTonalElmtSlct,,C
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,E7,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,Gm,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,A7,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,Fm,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,B♭7,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,E♭,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,Cm,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,G7,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,B7,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,A(sus4),
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,E,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,D♯7(dim),
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,E(sus4),
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,B(aug),
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,A,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,G4,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,A♭,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,#diagAccords div.dNomAcc,D7,
https://www.boiteachansons.net/partitions/charles-aznavour/ave-maria,2023-01-07T13:53:14.801Z,li.liTonalElmtSlct,,C
https://www.boiteachansons.net/partitions/vianney/pour-de-vrai,2023-01-07T13:53:15.634Z,#diagAccords div.dNomAcc,D,
https://www.boiteachansons.net/partitions/vianney/pour-de-vrai,2023-01-07T13:53:15.634Z,#diagAccords div.dNomAcc,Bm,
https://www.boiteachansons.net/partitions/vianney/pour-de-vrai,2023-01-07T13:53:15.634Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/vianney/pour-de-vrai,2023-01-07T13:53:15.634Z,#diagAccords div.dNomAcc,A,
https://www.boiteachansons.net/partitions/vianney/pour-de-vrai,2023-01-07T13:53:15.634Z,li.liTonalElmtSlct,,D
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,Em/D,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,Em/C,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,Em/B,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,F,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,Dm,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,E,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,C,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,E7,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,E/D,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,E/C,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,#diagAccords div.dNomAcc,E/B,
https://www.boiteachansons.net/partitions/renaud/manhattan-kaboul,2023-01-07T13:53:16.769Z,li.liTonalElmtSlct,,A
https://www.boiteachansons.net/partitions/sheila/les-rois-mages,2023-01-07T13:53:17.621Z,#diagAccords div.dNomAcc,D,
https://www.boiteachansons.net/partitions/sheila/les-rois-mages,2023-01-07T13:53:17.621Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/sheila/les-rois-mages,2023-01-07T13:53:17.621Z,#diagAccords div.dNomAcc,A,
https://www.boiteachansons.net/partitions/sheila/les-rois-mages,2023-01-07T13:53:17.621Z,#diagAccords div.dNomAcc,Em/B,
https://www.boiteachansons.net/partitions/sheila/les-rois-mages,2023-01-07T13:53:17.621Z,li.liTonalElmtSlct,,D
https://www.boiteachansons.net/partitions/claudio-capeo/c-est-une-chanson,2023-01-07T13:53:18.741Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/claudio-capeo/c-est-une-chanson,2023-01-07T13:53:18.741Z,#diagAccords div.dNomAcc,Am,
https://www.boiteachansons.net/partitions/claudio-capeo/c-est-une-chanson,2023-01-07T13:53:18.741Z,#diagAccords div.dNomAcc,B7,
https://www.boiteachansons.net/partitions/claudio-capeo/c-est-une-chanson,2023-01-07T13:53:18.741Z,#diagAccords div.dNomAcc,E,
https://www.boiteachansons.net/partitions/claudio-capeo/c-est-une-chanson,2023-01-07T13:53:18.741Z,#diagAccords div.dNomAcc,D,
https://www.boiteachansons.net/partitions/claudio-capeo/c-est-une-chanson,2023-01-07T13:53:18.741Z,li.liTonalElmtSlct,,G
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Bm,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Em,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,A7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,B♭(dim),
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Gmaj7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Em7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Dmaj7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,F♯4,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Cm,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Fm,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,B♭7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,B(dim),
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,A♭maj7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,Fm7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,E♭maj7,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,G4,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,#diagAccords div.dNomAcc,G,
https://www.boiteachansons.net/partitions/calogero/c-est-dit,2023-01-07T13:53:19.984Z,li.liTonalElmtSlct,,B
https://www.boiteachansons.net/partitions/yves-duteil/prendre-un-enfant,2023-01-07T13:53:21.252Z,#diagAccords div.dNomAcc,C,
